S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
2287,147,HEMANT SINGH KUSHWAHA,Independent,836,1,837,0.47
2288,147,NOTA,None of the Above,1130,6,1136,0.64
2289,68,KANTI KUMAR DUBEY,Communist Party of India (Marxist),1664,24,1688,1.18
2290,68,DIVYARAJ SINGH,Bharatiya Janata Party,54577,298,54875,38.42
2291,68,RAMGARIB VANVASI,Indian National Congress,34883,677,35560,24.9
2292,68,V. D. PANDEY,Bahujan Samaj Party,40676,409,41085,28.77
2293,68,SARITA PANDEY,Aam Aadmi Party,866,8,874,0.61
2294,68,Er. AVINASH SHUKLA,Rashtravadi Bharat Party,1364,15,1379,0.97
2295,68,DEVENDRA KUMAR SHUKLA,Bhartiya Shakti Chetna Party,276,3,279,0.2
2296,68,MANOJ SINGH BAGHEL,Vindhya Janta Party,416,2,418,0.29
2297,68,ADVOCATE. ROHINI PRASAD KUSHWAHA,Peoples Party of India (Democratic),369,1,370,0.26
2298,68,LAXMAN TIWARI,Samajwadi Party,2053,12,2065,1.45
2299,68,SHIVKUMAR KUSHWAHA,Jan Adhikar Party,375,1,376,0.26
2300,68,SHIV PRASAD SAHU,Bahujan Mukti Party,1097,3,1100,0.77
2301,68,CHHEDILAL KOL (RAWAT),Independent,845,3,848,0.59
2302,68,LALMANI KUSHWAHA,Independent,978,3,981,0.69
2303,68,NOTA,None of the Above,917,3,920,0.64
2304,80,CHANDRA PRATAP VISHWAKARMA(CHANDE),Bahujan Samaj Party,29565,108,29673,18.65
2305,80,Rani Agrawal,Aam Aadmi Party,8075,110,8185,5.14
2306,80,RAM NIWAS SHAH,Bharatiya Janata Party,74355,314,74669,46.93
2307,80,Renu Shah,Indian National Congress,36121,571,36692,23.06
2308,80,AJIMULLA,Aazad Samaj Party (Kanshi Ram),726,0,726,0.46
2309,80,ASHWANI KUMAR SHAH MOOLNIWASI,Peoples Party of India (Democratic),232,2,234,0.15
2310,80,OMP RAKASH SINGH,Samajwadi Party,596,4,600,0.38
2311,80,KUNDAN PANDEY,Vindhya Janta Party,1331,10,1341,0.84
2312,80,CHATURGUN PAL,Bhartiya Shakti Chetna Party,537,2,539,0.34
2313,80,PINTU LAL KUSHWAHA,Jan Adhikar Party,671,4,675,0.42
2314,80,MAHESH PRATAP SINGH,Communist Party of India,1384,2,1386,0.87
2315,80,RAMESHWAR PANDEY ADHIWAKTA,Saman Aadmi Saman Party,524,0,524,0.33
2316,80,ATUL KUMAR DUBEY MEDIA,Independent,941,3,944,0.59
2317,80,PUSHPENDRA GUPTA,Independent,1023,1,1024,0.64
2318,80,MADHVENDRA SHUKLA,Independent,444,0,444,0.28
2319,80,NOTA,None of the Above,1440,9,1449,0.91
2320,143,DEVENDRA PATEL,Indian National Congress,94961,974,95935,51.39
2321,143,RAMPAL SINGH,Bharatiya Janata Party,83992,489,84481,45.26
2322,143,MOHD TALAT KHAN,Aazad Samaj Party (Kanshi Ram),1926,3,1929,1.03
2323,143,NARENDRA SINGH,Gondvana Gantantra Party,650,1,651,0.35
2324,143,DEVENDRA,Independent,308,0,308,0.16
2325,143,THAKUR-PRADEEP-SINGH,Independent,256,0,256,0.14
2326,143,MANOJ,Independent,368,0,368,0.2
2327,143,MUEEN UDDIN,Independent,718,0,718,0.38
2328,143,NOTA,None of the Above,2015,7,2022,1.08
2329,102,EKTA THAKUR,Indian National Congress,58160,845,59005,32.51
2330,102,ENGINEER SUBHASH SINGH MARKAM,Bahujan Samaj Party,11050,51,11101,6.12
2331,102,SANTOSH VARKADE,Bharatiya Janata Party,101337,440,101777,56.07
2332,102,SHIV PRASAD DHURVE,Bhartiya Shakti Chetna Party,2207,6,2213,1.22
2333,102,MOHAN SONDHIYA,Independent,1485,3,1488,0.82
2334,102,DR. SANJIV WARKHEDE,Independent,2900,6,2906,1.6
2335,102,NOTA,None of the Above,3020,13,3033,1.67
2336,78,KAMLESHWAR INDRAJEET KUMAR,Indian National Congress,69930,677,70607,40.01
2337,78,VISHWAMITRA PATHAK,Bharatiya Janata Party,86613,472,87085,49.35
2338,78,SANKALAN KOL (RANI VERMA),Bahujan Samaj Party,9265,27,9292,5.27
2339,78,GIRIJA PRASAD KEWAT,Rashtriya mahan Gantantra Party,667,0,667,0.38
2340,78,"""MOOLNIWASI"" BIRBAHADUR CHHATHILAL SINGH TEKAM",Peoples Party of India (Democratic),361,4,365,0.21
2341,78,BHAGIRATH SINGH BADKADE,Aazad Samaj Party (Kanshi Ram),622,1,623,0.35
2342,78,BHARAT BHAI PATEL,Bhartiya Shakti Chetna Party,1309,1,1310,0.74
2343,78,RAJKUMAR KUSHWAHA,Jan Adhikar Party,680,2,682,0.39
2344,78,BHAGWAN DAS (B.D.SAHU),Independent,2138,2,2140,1.21
2345,78,MARKANDE PRASAD RAWAT,Independent,1516,0,1516,0.86
2346,78,NOTA,None of the Above,2174,2,2176,1.23
2347,77,Anand Mangal Singh,Aam Aadmi Party,2721,14,2735,1.55
2348,77,Bhai Ramkhelavan Rajak Urf Khilari Dhobi,Bahujan Samaj Party,3306,8,3314,1.87
2349,77,Riti Pathak,Bharatiya Janata Party,88469,195,88664,50.12
2350,77,Gyan Singh,Indian National Congress,52792,454,53246,30.1
2351,77,Adesh Kumar Jayswal (Afsar Bhai),Jan Adhikar Party,1235,0,1235,0.7
2352,77,Moolnivasi Geeta Rajkumar Sahu,Peoples Party of India (Democratic),577,3,580,0.33
2353,77,Daddu Lal Pandey,Bhartiya Shakti Chetna Party,881,3,884,0.5
2354,77,Balmeek Prasad Tripathi,Vindhya Janta Party,568,2,570,0.32
2355,77,Ram Kumar Gupta (Bade),Jan Sewa Driver Party,687,0,687,0.39
2356,77,Rampratap Singh Yadav,Samajwadi Party,4994,14,5008,2.83
2357,77,Lal Bahadur Singh Uike,Aazad Samaj Party (Kanshi Ram),1592,3,1595,0.9
2358,77,Shailendra Tiwari (Shailu Dutt),Rashtravadi Bharat Party,636,1,637,0.36
2359,77,Sudama Kol,Aadim Samaj Party,1122,0,1122,0.63
2360,77,Kedar Nath Shukla,Independent,13739,117,13856,7.83
2361,77,Bhole Prasad Yadav,Independent,606,0,606,0.34
2362,77,Manfer Singh,Independent,1184,0,1184,0.67
2363,77,Rinkoo Kushwaha,Independent,341,0,341,0.19
2364,77,NOTA,None of the Above,651,3,654,0.37
2365,168,Inder Singh Parmar,Bharatiya Janata Party,95512,542,96054,51.84
2366,168,Kavi Manohar Bouddh,Bahujan Samaj Party,1110,3,1113,0.6
2367,168,Ramveer Singh Sikarwar,Indian National Congress,81799,595,82394,44.46
2368,168,Kailasha Choodiya,Aazad Samaj Party (Kanshi Ram),2866,7,2873,1.55
2369,168,Babulal Malviya Khedinagar,Samajwadi Party,244,3,247,0.13
2370,168,Indar Singh Parmar,Independent,149,5,154,0.08
2371,168,Ibrahim Beg,Independent,463,2,465,0.25
2372,168,Jogendra Singh Parmar,Independent,465,1,466,0.25
2373,168,Dr. Qazi. S. Rehman (Saeed. Bhai),Independent,264,1,265,0.14
2374,168,NOTA,None of the Above,1264,6,1270,0.69
2375,25,ABRAN SINGH (KALLI) GURJAR,Bahujan Samaj Party,10656,47,10703,5.41
2376,25,DEVENDRA KUMAR JAIN 'PATTE WALE',Bharatiya Janata Party,111495,829,112324,56.74
2377,25,K. P. SINGH 'KAKKA JOO',Indian National Congress,68286,1008,69294,35.01
2378,25,PARMA RATHORE,Parivartan Party of India,870,1,871,0.44
2379,25,RADHE SHYAM SHARMA,Rashtra Nirman Party,247,1,248,0.13
2380,25,SATENDAR KARAIYA,Aazad Samaj Party (Kanshi Ram),548,0,548,0.28
2381,25,AMAN SONI,Independent,182,1,183,0.09
2382,25,MANOJ SURYAVANSHI (SAMMELAN AYOJAK),Independent,676,0,676,0.34
2383,25,YASHAVANT SINGH YADAV CHANDAVANI,Independent,264,1,265,0.13
2384,25,RAMESH SHARMA,Independent,332,3,335,0.17
2385,25,VIJAY BATHAM,Independent,537,2,539,0.27
2386,25,HAJARI LAL KOTIA (RATHORE),Independent,576,1,577,0.29
2387,25,NOTA,None of the Above,1381,8,1389,0.7
2388,1,DURGALAL VIJAY (VAKEEL SAAB),Bharatiya Janata Party,85006,708,85714,40.45
2389,1,BABU JANDEL,Indian National Congress,95602,1242,96844,45.7
2390,1,BIHARI SINGH SOLANKI,Bahujan Samaj Party,22833,221,23054,10.88
2391,1,ADIL KHAN,Social Democratic Party Of India,729,4,733,0.35
2392,1,YOGESH TYAGI,Rashtriya Krantikari Samajwadi Party,233,1,234,0.11
2393,1,SHIV MAHESH MODI JI,Parivartan Party of India,166,1,167,0.08
2394,1,HARiSHAKAR JATAV,Aazad Samaj Party (Kanshi Ram),378,8,386,0.18
2395,1,AYYUB QURESHI,Independent,216,0,216,0.1
2396,1,TEJPAL AADiVASHi,Independent,206,3,209,0.1
2397,1,Smt. DURGESH NANDNI,Independent,304,1,305,0.14
2398,1,BALWAN,Independent,724,0,724,0.34
2399,1,MURLIDHAR PRAJAPATI,Independent,482,0,482,0.23
2400,1,RAJENDRA KUMAR SHRIVASTAV,Independent,406,0,406,0.19
2401,1,HARViLASH,Independent,634,0,634,0.3
2402,1,NOTA,None of the Above,1794,7,1801,0.85
2403,148,MAHARAJ SINGH DIWAKAR,Bahujan Samaj Party,1451,6,1457,0.9
2404,148,SINDHU VIKRAM SINGH (BHANWAR BANA),Indian National Congress,67435,535,67970,41.87
2405,148,SURYA PRAKASH MEENA,Bharatiya Janata Party,86859,375,87234,53.74
2406,148,KASHIRAM RAGHUWANSHI,Akhil Bhartiya Aarakshit Samaj Party,990,0,990,0.61
2407,148,PRADEEP RATHOR,Indian Peoples Adhikar Party,174,0,174,0.11
2408,148,MAKHAN SINGH AHIRWAR,Aazad Samaj Party (Kanshi Ram),1424,1,1425,0.88
2409,148,RAJKUMARI MANJHI (KEVAT),Jan Adhikar Party,255,0,255,0.16
2410,148,SHISHUPAL YADAV,Samajwadi Party,311,1,312,0.19
2411,148,AKARAM BHAI,Independent,361,1,362,0.22
2412,148,JASWANT SINGH MEENA,Independent,445,1,446,0.27
2413,148,RAHUL RAJ (KISAN NETA),Independent,624,0,624,0.38
2414,148,NOTA,None of the Above,1068,1,1069,0.66
2415,167,ARUN BHIMAWAD,Bharatiya Janata Party,98184,776,98960,47.33
2416,167,KARADA HUKUMSINGH,Indian National Congress,98034,898,98932,47.32
2417,167,BHAGIRATH BAGAANIYA,Bahujan Samaj Party,1401,10,1411,0.67
2418,167,KANTILAL,Aazad Samaj Party (Kanshi Ram),5675,14,5689,2.72
2419,167,AMIT JATAV,Independent,217,2,219,0.1
2420,167,OMPRAKASH VERMA,Independent,344,2,346,0.17
2421,167,RAM SWROOP SHARMA,Independent,226,3,229,0.11
2422,167,SUNIL,Independent,887,10,897,0.43
2423,167,HARI SINGH THAKUR (GOHIL),Independent,865,5,870,0.42
2424,167,NOTA,None of the Above,1516,18,1534,0.73
2425,103,AMAR SINGH MARKO,Aam Aadmi Party,4521,9,4530,2.04
2426,103,OMPRAKASH DHURWEY,Bharatiya Janata Party,84487,357,84844,38.23
2427,103,BHOOPENDRA MARAVI (BABLU),Indian National Congress,78227,1000,79227,35.7
2428,103,AMAN SINGH PORTE,Gondvana Gantantra Party,40718,142,40860,18.41
2429,103,RAMESH KUMAR BANWASI,Bhartiya Shakti Chetna Party,2841,3,2844,1.28
2430,103,SUKHDEV SINGH KUSHRAM,Aapki Apni Party (Peoples),3028,1,3029,1.36
2431,103,SANJU KUMAR MARAVI,Gana Suraksha Party,1954,0,1954,0.88
2432,103,NOTA,None of the Above,4624,12,4636,2.09
2433,20,GHANSHYAM SINGH,Indian National Congress,40597,679,41276,29.32
2434,20,DUBEY SANJAY,Aam Aadmi Party,7712,34,7746,5.5
2435,20,PRADEEP AGRAWAL,Bharatiya Janata Party,43586,248,43834,31.14
2436,20,LAKHAN SINGH YADAV,Bahujan Samaj Party,12712,75,12787,9.08
2437,20,ALOK SINGH JADOUN,Aam Bhartiya Party,307,0,307,0.22
2438,20,KARAN SiNGH KUSHWAH,National Youth Party,413,2,415,0.29
2439,20,DAMODAR SiNGH-YADAV,Aazad Samaj Party (Kanshi Ram),28960,82,29042,20.63
2440,20,DEVENDRASiNgh ChAuHAN,Samajwadi Party,515,0,515,0.37
2441,20,DHAN SINGH BAGHEL,Jan Adhikar Party,615,1,616,0.44
2442,20,Sobran Baghel,All India Forward Bloc,309,1,310,0.22
2443,20,KALYAN JATAV (HARSHVARDHAN SINGH),Independent,196,0,196,0.14
2444,20,JASVANT SiNGH,Independent,389,0,389,0.28
2445,20,MAHiPAT SiNGH,Independent,351,0,351,0.25
2446,20,MEENA KUSHWAHA,Independent,400,0,400,0.28
2447,20,RAJESH SINGH,Independent,389,0,389,0.28
2448,20,RAM AVTAR Singh KuShWAH,Independent,878,0,878,0.62
2449,20,RAM KUMAR EToRIYA,Independent,517,0,517,0.37
2450,20,VAIDHYA RAMKUMAR GUPTA URF VIDHAYAKJI,Independent,175,1,176,0.13
2451,20,RAMPRAKASH,Independent,331,0,331,0.24
2452,20,NOTA,None of the Above,289,4,293,0.21
2453,136,AJAY BALRAM SINGH PATEL,Indian National Congress,67387,481,67868,32.65
2454,136,PREMSHANKAR KUNJILAL VERMA,Bharatiya Janata Party,103288,594,103882,49.98
2455,136,SUNIL GOUR,Aam Aadmi Party,4523,42,4565,2.2
2456,136,UMED SINGH JAT,Gondvana Gantantra Party,3800,29,3829,1.84
2457,136,DEVRAJ KAROCHE,Bahujan Mukti Party,263,3,266,0.13
2458,136,DHEERAJ CHOUHAN,Indian Peoples Adhikar Party,329,4,333,0.16
2459,136,NARENDRA RAGHUWANSHI PATRAKAR,Rashtravadi Bharat Party,551,1,552,0.27
2460,136,FAGRAM,Samajwadi Jan Parishad,1377,15,1392,0.67
2461,136,MANGILAL MANIK GOLGAON,Akhand Bharat Samrajya Party,292,2,294,0.14
2462,136,AJAY PATEL,Independent,488,15,503,0.24
2463,136,"""OM BHAIYA"" OMPRAKASH HAJARILAL RAGHUWANSHI",Independent,18704,156,18860,9.07
2464,136,ENGINEER KAILASHSINGH DHURVEY,Independent,644,11,655,0.32
2465,136,YOGESH KUMAR SAHU,Independent,389,1,390,0.19
2466,136,RAM MOHAN GOUR JI PATEL,Independent,561,1,562,0.27
2467,136,SURESH UIKEY URF DUGGI,Independent,1610,7,1617,0.78
2468,136,NOTA,None of the Above,2295,3,2298,1.11
2469,115,ANAND PANJWANI,Indian National Congress,96786,1591,98377,42.14
2470,115,DINESH RAI MUNMUN,Bharatiya Janata Party,115915,880,116795,50.03
2471,115,ANKIT SINGH BAGHEL,Rashtriya Gondvana Party,1015,5,1020,0.44
2472,115,"RANJEET RAMDAS WASNIK ""DAU""",Gondvana Gantantra Party,10329,66,10395,4.45
2473,115,SHABANA (SONA) KHAN,Navodaya Jantantrik Party,255,3,258,0.11
2474,115,AJAY OMKAR SINGH BAGHEL,Independent,343,2,345,0.15
2475,115,TILAK SINGH JATAV,Independent,248,0,248,0.11
2476,115,TEERATH SINGH CHANDEL,Independent,182,1,183,0.08
2477,115,MAKBUL SHAH,Independent,459,0,459,0.2
2478,115,MUNUWAR KHAN,Independent,608,0,608,0.26
2479,115,LATA,Independent,632,2,634,0.27
2480,115,MOHAD. SHADAB PATEL,Independent,1440,0,1440,0.62
2481,115,NOTA,None of the Above,2684,19,2703,1.16
2482,187,ANTAR SINGH ARYA,Bharatiya Janata Party,103975,484,104459,47.51
2483,187,Er.Nansing Nawde,Aam Aadmi Party,4135,20,4155,1.89
2484,187,MONTU SOLANKI,Indian National Congress,105347,789,106136,48.28
2485,187,NOTA,None of the Above,5087,11,5098,2.32
2486,69,ABHAY MISHRA,Indian National Congress,55536,488,56024,34.92
2487,69,K. P. TRIPATHI,Bharatiya Janata Party,55181,206,55387,34.53
2488,69,PANKAJ SINGH,Bahujan Samaj Party,43992,166,44158,27.53
2489,69,NAGENDRA SINGH,Bhartiya Shakti Chetna Party,513,2,515,0.32
2490,69,NAGENDR SINGH KARCHULI,All India Forward Bloc,153,0,153,0.1
2491,69,UMESH KOL,Independent,179,1,180,0.11
2492,69,KAMALBHAN SINGH,Independent,108,1,109,0.07
2493,69,TIRATH PRASAD KOL,Independent,91,0,91,0.06
2494,69,DIWAKAR PRASAD DWIVEDI (EX-ARMY),Independent,268,5,273,0.17
2495,69,DR. RAJNEESH PRAJAPATI,Independent,184,5,189,0.12
2496,69,RAKESH PRASAD PANDEY,Independent,194,0,194,0.12
2497,69,SANTOSH SHRIDHAR UPADHYAY,Independent,200,0,200,0.12
2498,69,SUDHEER KUMAR SAKET,Independent,248,0,248,0.15
2499,69,HAFIZ MOHAMMAD ALI,Independent,682,0,682,0.43
2500,69,SHRIDHAR DUBEY,Independent,946,0,946,0.59
2501,69,NOTA,None of the Above,1062,7,1069,0.67
2502,159,KAMLESH DOHARE,Bahujan Samaj Party,4027,76,4103,2.26
2503,159,SHASHANK RAMESH SAXENA,Indian National Congress,67381,765,68146,37.55
2504,159,SUDESH RAI,Bharatiya Janata Party,104978,1019,105997,58.4
2505,159,ANUPAMA TIWARI,Rashtriya Navjagran Party,1007,0,1007,0.55
2506,159,MOHAMMAD AKRAM QURESHI,Independent,242,1,243,0.13
2507,159,Dr. AKRAM KHAN,Independent,779,0,779,0.43
2508,159,AAKASH,Independent,307,2,309,0.17
2509,159,NOTA,None of the Above,903,14,917,0.51
2510,125,NANABHAU MOHOD,Bharatiya Janata Party,80477,490,80967,43.72
2511,125,PANJABRAO SOMKUWAR,Bahujan Samaj Party,1744,18,1762,0.95
2512,125,VIJAY REVNATH CHORE,Indian National Congress,91477,1032,92509,49.95
2513,125,PRADIP BHAU JULAME,Aazad Samaj Party (Kanshi Ram),1082,6,1088,0.59
2514,125,FHOGAL BANSOD,Republican Party of India (A),149,0,149,0.08
2515,125,DR. MOHANLAL PUSE,Vanchit Bahujan Aaghadi,109,1,110,0.06
2516,125,SUNIL PAGARE,Bahujan Mukti Party,136,1,137,0.07
2517,125,ANIL BUDDHESHWAR GAJBHIYE,Independent,211,1,212,0.11
2518,125,ASHISH PARADKAR (PAWAR),Independent,381,4,385,0.21
2519,125,CHINDHESH SAHASTRABUDHDE,Independent,411,4,415,0.22
2520,125,DEVDAS PARTETI,Independent,743,7,750,0.4
2521,125,NAWAJ SHEIKH,Independent,411,0,411,0.22
2522,125,PRADEEP (BANDU) THAKARE (GURUJI),Independent,1475,9,1484,0.8
2523,125,BHAIYA-SHYAM SHIVHARE VAKIL,Independent,1343,1,1344,0.73
2524,125,SEVKRAM GAME,Independent,1038,8,1046,0.56
2525,125,NOTA,None of the Above,2418,4,2422,1.31
2526,63,GANESH SINGH,Bharatiya Janata Party,65999,598,66597,37.35
2527,63,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,69208,1430,70638,39.61
2528,63,SHIVA RATNAKAR CHATURBEDI,Bahujan Samaj Party,33132,435,33567,18.82
2529,63,CHANDA KUSHWAHA,Peoples Party of India (Democratic),322,5,327,0.18
2530,63,Jitendra Roy (Pourvancal Vale),Bharatiya Jan Morcha Party,178,2,180,0.1
2531,63,MUNNI KHAN ADVOCATE,Janata Congress,91,1,92,0.05
2532,63,HAJI MOIN KHAN,Samajwadi Party,176,1,177,0.1
2533,63,RAMKUSHAL KEVAT,Aapka Gantantra Party,268,2,270,0.15
2534,63,RANJANA MISHRA,Nyaydharmsabha,261,0,261,0.15
2535,63,HARI OM GUPTA,Vindhya Janta Party,1637,7,1644,0.92
2536,63,Harishankar Tiwari (Loha Wala),Sapaks Party,239,5,244,0.14
2537,63,AJAY DAHIYA (AJJU BHAIYA),Independent,152,1,153,0.09
2538,63,ANOOP PANDAY (BADKHAR),Independent,156,2,158,0.09
2539,63,MO. AMEEN (BHINGU BHAI),Independent,260,0,260,0.15
2540,63,ARUN KUMAR MISHRA URF PAPPU MISHRA,Independent,393,0,393,0.22
2541,63,AHAMAD KHAN,Independent,641,0,641,0.36
2542,63,GOPAL CHAUDHARI,Independent,521,1,522,0.29
2543,63,JAVED KHAN,Independent,353,0,353,0.2
2544,63,TRIBHUWAN PRASAD PANDEY TRIBHUWAN BHAI,Independent,221,0,221,0.12
2545,63,DEEPSHIKHA RAHUL SINGH,Independent,59,0,59,0.03
2546,63,NASREEN KHAN,Independent,43,1,44,0.02
2547,63,MANOJ KUMAR SHRIVASTAVA,Independent,54,0,54,0.03
2548,63,RAJ MOHAMMAD,Independent,63,0,63,0.04
2549,63,RAJIV KUMAR,Independent,129,0,129,0.07
2550,63,RAMMURTY PANDAY,Independent,83,0,83,0.05
2551,63,SHIV - VARAN - JEE BAGHA,Independent,71,1,72,0.04
2552,63,SUSHIL KUMAR,Independent,103,0,103,0.06
2553,63,DR. SANTOSH KUMAR SHARMA,Independent,132,2,134,0.08
2554,63,NOTA,None of the Above,874,14,888,0.5
2555,196,PRATAP GREWAL,Indian National Congress,85486,628,86114,49.35
2556,196,"WELSINGH BHURIYA """,Bharatiya Janata Party,81646,340,81986,46.98
2557,196,REVASHANKAR SINGAR,Bahujan Mukti Party,1340,2,1342,0.77
2558,196,RAJENDRA TOLARAM - GAMAD,Independent,2934,6,2940,1.68
2559,196,NOTA,None of the Above,2121,5,2126,1.22
2560,164,KALA-MAHESH MALVIYA,Indian National Congress,73447,594,74041,42.32
2561,164,GOTAM TETWAL,Bharatiya Janata Party,96557,538,97095,55.5
2562,164,DEV VERMA,Bahujan Samaj Party,1956,8,1964,1.12
2563,164,JAGDISH AHIRWAR,Samajwadi Party,334,3,337,0.19
2564,164,LAKHAN MANDAL,Independent,386,0,386,0.22
2565,164,NOTA,None of the Above,1117,10,1127,0.64
2566,211,TULSIRAM SILAWAT,Bharatiya Janata Party,149771,1277,151048,61.7
2567,211,REENA BOURASI DIDI,Indian National Congress,81250,944,82194,33.57
2568,211,SEEMA GOKUL GOYAL,Bahujan Samaj Party,1074,6,1080,0.44
2569,211,VINOD YADAV AMBEDKAR,Aazad Samaj Party (Kanshi Ram),7259,55,7314,2.99
2570,211,GHANSHYAM CHANDEL,Independent,308,0,308,0.13
2571,211,PREMCHAND WASIWAL (GUDDU),Independent,203,2,205,0.08
2572,211,BABU SIR,Independent,542,0,542,0.22
2573,211,NOTA,None of the Above,2104,15,2119,0.87
2574,142,DR. G. C. GAUTAM,Indian National Congress,77355,1332,78687,38.05
2575,142,DR. PRABHURAM CHOUDHARY,Bharatiya Janata Party,122000,960,122960,59.45
2576,142,SURAJ PAL SINGH (RETIRED TEACHER),Bahujan Samaj Party,1745,18,1763,0.85
2577,142,AMRAT BABU NARWARE ADVOCATE,Gana Suraksha Party,176,2,178,0.09
2578,142,UDAYBHAN SINGH,Bhartiya Gan Varta Party,216,1,217,0.1
2579,142,BHAI MUNSHILAL SILAWAT,Public Political Party,119,1,120,0.06
2580,142,RAJAN,Janata Congress,97,1,98,0.05
2581,142,GOVARDHAN JATAV,Independent,112,3,115,0.06
2582,142,CHARAN SINGH,Independent,122,4,126,0.06
2583,142,JAGAT SINGH,Independent,130,3,133,0.06
2584,142,BHEEKAM SINGH,Independent,237,2,239,0.12
2585,142,MANOJ AHIRWAR,Independent,571,2,573,0.28
2586,142,NOTA,None of the Above,1596,20,1616,0.78
2587,221,SHANKAR LAL,Bahujan Samaj Party,1650,1,1651,0.87
2588,221,SANGEETA-VIJAY CHAREL,Bharatiya Janata Party,41332,252,41584,21.81
2589,221,"HARSH VIJAY GEHLOT ""GUDDU""",Indian National Congress,65701,900,66601,34.93
2590,221,KAMLESHWAR DODIYAR,Bharat Adivasi Party,71036,183,71219,37.36
2591,221,DHARMENDRA,Janata Dal (United),1274,2,1276,0.67
2592,221,NAVEEN DAMOR ADVOCATE,Bhartiya Tribal Party,640,2,642,0.34
2593,221,BHURI SINGAD,Samajwadi Party,678,1,679,0.36
2594,221,PAVAN,Independent,1116,0,1116,0.59
2595,221,VAGESHWAR MAIDA,Independent,898,0,898,0.47
2596,221,SURAJ BHABHAR,Independent,2402,2,2404,1.26
2597,221,NOTA,None of the Above,2571,9,2580,1.35
2598,41,SMT. NIDHI SUNIL JAIN,Indian National Congress,58869,879,59748,42.27
2599,41,EN. MUKESH JAIN 'DHANA',Aam Aadmi Party,1618,30,1648,1.17
2600,41,SHALENDRA KUMAR JAIN,Bharatiya Janata Party,74213,556,74769,52.9
2601,41,ADVOCATE SMOHI JATAV,Bahujan Samaj Party,1227,13,1240,0.88
2602,41,NARENDRA SINGH SURYAWANSHI,Aazad Samaj Party (Kanshi Ram),591,1,592,0.42
2603,41,RAMLAL RAJAK,Bhartiya Shakti Chetna Party,110,3,113,0.08
2604,41,SMT. SONA PATEL,Socialist Unity Centre Of India (COMMUNIST),90,0,90,0.06
2605,41,ASLAM SIR,Independent,51,0,51,0.04
2606,41,ASLAM KHAN,Independent,77,0,77,0.05
2607,41,UMESH TRAHIMAM,Independent,208,6,214,0.15
2608,41,GOVARDHAN PATEL,Independent,117,2,119,0.08
2609,41,JAHID KHAN MANSURI,Independent,80,0,80,0.06
2610,41,DEEPAK KOSHTI,Independent,250,1,251,0.18
2611,41,PEER MUHMMD (JHAGDU MISTRI),Independent,130,0,130,0.09
2612,41,MOHD. FAROOK,Independent,104,0,104,0.07
2613,41,MAHENDRA KUMAR KORI,Independent,453,2,455,0.32
2614,41,MIRZA RIZBAN BAIG (RANA),Independent,295,0,295,0.21
2615,41,LAXMIKANT RAAZ,Independent,77,0,77,0.05
2616,41,SHAILBALA SUNARYA,Independent,519,4,523,0.37
2617,41,SITADEVI DUBEY,Independent,76,1,77,0.05
2618,41,SHRI SUBODH SHUKLA (ADIPURUSH),Independent,58,1,59,0.04
2619,41,NOTA,None of the Above,629,10,639,0.45
2620,3,ASHOK TIWARI,Communist Party of India (Marxist),1305,15,1320,0.73
2621,3,BAIJ NATH KUSHWAH,Indian National Congress,56286,696,56982,31.63
2622,3,Smt. Sarla vijendra Rawat,Bharatiya Janata Party,66305,482,66787,37.07
2623,3,SONI DHAKAD,Bahujan Samaj Party,50773,380,51153,28.39
2624,3,ABDUL GAFFAR SHAH,Public Political Party,349,0,349,0.19
2625,3,KUN. Er. DHEER SINGH JHUNDPURA,Bharatiya Sampuran Krantikari Party,110,1,111,0.06
2626,3,LAL SINGH RATHOR,Samajwadi Party,1778,3,1781,0.99
2627,3,Shyamveer yadav,Aazad Samaj Party (Kanshi Ram),459,0,459,0.25
2628,3,NARESH SHRiWAS,Independent,168,0,168,0.09
2629,3,RAVENDRA SHRIVASTAVA,Independent,185,1,186,0.1
2630,3,HEMRAJ KEWAT,Independent,267,0,267,0.15
2631,3,NOTA,None of the Above,585,4,589,0.33
2632,74,ENG. DEEPAK SINGH PATEL,Aam Aadmi Party,4990,44,5034,3.32
2633,74,"MADHUMAS CHANDRA SONI ""BUNCHI BHAI""",Bahujan Samaj Party,8482,42,8524,5.61
2634,74,Er. RAJENDRA SHARMA,Indian National Congress,55302,1039,56341,37.11
2635,74,RAJENDRA SHUKLA,Bharatiya Janata Party,76939,741,77680,51.16
2636,74,ABDUL WAFATI ANSARI,Samajwadi Party,615,1,616,0.41
2637,74,"AMIT KUMAR TIWARI, ADVOCATE",Madhya Pradesh Jan Vikas Party,174,2,176,0.12
2638,74,DR. TOSHAN SINGH,Sapaks Party,141,3,144,0.09
2639,74,Adv. RAVI SHANKAR MANJHI,Peoples Party of India (Democratic),225,6,231,0.15
2640,74,RAHAS LAL,National Jagaran Party,145,0,145,0.1
2641,74,RAM KUMAR SONI,Bahujan Mukti Party,153,2,155,0.1
2642,74,AVINASH SHRIVASTAVA,Independent,145,0,145,0.1
2643,74,PRADEEP KUMAR BASOR,Independent,601,1,602,0.4
