Constituency,Constituency NO,Winning Candidate,Party,Total Votes,Margin,Round
Kotma,86,DILIP JAISWAL,Bharatiya Janata Party,65818,22788,16
Kukshi ,198,Baghel Surendra Singh Honey,Indian National Congress,114464,49888,20
Kurwai,146,HARI SINGH SAPRE,Bharatiya Janata Party,102343,26069,22
Lahar ,11,"AMBRISH SHARMA ""GUDDU""",Bharatiya Janata Party,75347,12397,19
Lakhnadon,117,YOGENDRA SINGH BABA,Indian National Congress,114519,18621,20
Lanji ,109,RAJKUMAR KARRAHE,Bharatiya Janata Party,101005,2773,19
Maharajpur,48,KAMAKHYA PRATAP SINGH (TEEKA RAJA),Bharatiya Janata Party,76969,26617,20
Maheshwar,183,RAJKUMAR MEV,Bharatiya Janata Party,94383,5919,18
Mahidpur,213,DINESH JAIN BOSS,Indian National Congress,75454,290,19
Maihar,65,SHRIKANT CHATURVEDI,Bharatiya Janata Party,76870,21394,17
Malhara,53,BAHIN RAMSIYA BHARTI,Indian National Congress,89053,21532,20
Malhargarh,225,JAGDISH DEVDA,Bharatiya Janata Party,115498,59024,21
Manasa ,228,ANIRUDDHA (MADHAV) MAROO,Bharatiya Janata Party,90980,18987,18
Manawar,199,Dr. Hiralal Alawa,Indian National Congress,90229,708,19
Mandhata ,175,NARAYAN PATEL,Bharatiya Janata Party,80880,589,18
Mandla,107,SAMPATIYA UIKEY,Bharatiya Janata Party,113135,15947,20
Mandsour ,224,VIPIN JAIN,Indian National Congress,105316,2049,20
Mangawan,73,ENGINEER NARENDRA PRAJAPATI,Bharatiya Janata Party,78754,31912,21
Manpur,90,MEENA SINGH,Bharatiya Janata Party,86089,25265,23
Mauganj,71,PRADEEP PATEL,Bharatiya Janata Party,70119,7174,18
Mehgaon,12,RAKESH SHUKLA,Bharatiya Janata Party,87153,22010,18
Morena,6,DINESH GURJAR,Indian National Congress,73695,19871,18
Multai,129,CHANDRASHEKHAR DESHMUKH,Bharatiya Janata Party,96066,14842,15
Mungaoli,34,BRAJENDRA SINGH YADAV,Bharatiya Janata Party,77062,5422,21
Murwara,93,SANDEEP SHRIPRASAD JAISWAL,Bharatiya Janata Party,89652,24903,21
Nagada-Khachrod,212,DR. TEJBAHADUR SINGH CHAUHAN,Bharatiya Janata Party,93552,15927,20
Nagod,64,NAGENDRA SINGH,Bharatiya Janata Party,70712,17369,20
Narela,151,VISHVAS SARANG,Bharatiya Janata Party,124552,24569,16
Narsinghgarh,160,MOHAN SHARMA,Bharatiya Janata Party,113084,31915,20
Narsingpur,119,PRAHLAD SINGH PATEL,Bharatiya Janata Party,110226,31310,19
